College,Branch,Category,Merit No,Percentile,City
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Civil Engineering,GOPENH,122805,49.513096,Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Civil Engineering,GSCH,174989,6.3063439,Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Civil Engineering,GOBCH,128659,45.5784574,Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Civil Engineering,LOPENH,115396,53.7694785,Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Civil Engineering,LSCH,170206,11.8827852,Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Civil Engineering,LNT1H,131251,43.9565943,Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Civil Engineering,LNT2H,134584,42.1597155,Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Civil Engineering,LNT3H,133388,42.725346,Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Civil Engineering,LOBCH,171207,11.047683,Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Civil Engineering,GOPENO,136612,40.2848342,Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Civil Engineering,GVJO,174875,6.3954455,Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Civil Engineering,GOBCO,156915,24.7657909,Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Civil Engineering,LOPENO,145668,34.1954023,Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Civil Engineering,GSCO,173443,8.4112538,Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Civil Engineering,LOPENO,123432,48.8696809,Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Civil Engineering,LNT2O,134489,42.2200941,Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Civil Engineering,EWS,178958,1.0475793,Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Computer Engineering,GOPENH,52239,81.8420405,Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Computer Engineering,GSCH,82228,69.8140377,Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Computer Engineering,GSTH,104145,60.1291862,Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Computer Engineering,GNT1H,58522,79.5290328,Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Computer Engineering,GNT2H,63235,77.8250739,Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Computer Engineering,GNT3H,57604,80.003358,Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Computer Engineering,GOBCH,56276,80.5358903,Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Computer Engineering,GSEBCH,76402,72.5041736,Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Computer Engineering,LOPENH,43437,85.1704164,Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Computer Engineering,LSCH,62324,78.1496564,Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Computer Engineering,LVJH,116529,52.9935209,Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Computer Engineering,LOBCH,51329,82.1878954,Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Computer Engineering,LSEBCH,73646,73.7743452,Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Computer Engineering,GOPENO,56667,80.3003309,Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Computer Engineering,GSCO,60217,78.9969285,Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Computer Engineering,GOBCO,59810,79.1318865,Ahmednagar
